"","Draft-Year","GP","MIN","PTS","FGA","FGP","3PA","3PP","FTA","FTP","OREB","DREB","AST","BLK","PF","Classe"
"Ekpe Udoh","2010","58","17.8","4.1","3.8","43.7","0","0","1.1","65.6","1.4","1.7","0.7","1.5","2.5","1"
"Greg Monroe","2010","80","27.8","9.4","6.9","55.1","0","0","2.9","62.2","3.1","4.4","1.3","0.6","2.5","1"
"Al-Farouq Aminu","2010","81","17.9","5.6","5","39.4","1.8","31.5","1.5","77.3","0.9","2.4","0.7","0.3","1.5","1"
"Gordon Hayward","2010","72","16.9","5.4","4.1","48.5","1","47.3","1.3","71.1","0.6","1.4","1.1","0.3","1.5","1"
"Paul George","2010","61","20.7","7.8","6.5","45.3","2.3","29.7","1.7","76.2","0.6","3.1","1.1","0.4","2.1","1"
"Ed Davis","2010","65","24.6","7.7","5.7","57.6","0","0","2","55.5","2.6","4.5","0.6","1","2.8","1"
"Patrick Patterson","2010","52","16.7","6.3","5.1","55.8","0","0","0.8","71.4","1.7","2.2","0.8","0.7","1.5","1"
"Larry Sanders","2010","60","14.5","4.3","4.5","43.3","0","0","0.8","56","1","2","0.3","1.2","2","1"
"Kevin Seraphin","2010","58","10.9","2.7","2.5","44.9","0","0","0.5","71","1.4","1.2","0.2","0.5","2.2","1"
"Eric Bledsoe","2010","81","22.7","6.7","6","42.4","1.4","27.6","1.6","74.4","0.8","1.9","3.6","0.3","1.6","1"
"James Anderson","2010","26","11","3.6","3.1","38.3","1.8","39.1","0.7","77.8","0.1","0.8","0.7","0.2","0.9","1"
"Craig Brackins","2010","3","10.9","2.7","5.3","25","1.7","0","0","0","0.7","0.7","0.3","0","1","0"
"Trevor Booker","2010","65","16.4","5.3","3.9","54.9","0","0","1.6","67.3","1.5","2.4","0.5","0.6","1.8","1"
"Damion James","2010","25","16.1","4.4","4.1","44.7","0.1","0","1.1","64.3","0.7","2.7","0.8","0.5","1.4","0"
"Dominique Jones","2010","18","7.5","2.3","2.5","31.1","0.2","0","0.9","82.4","0.3","1.1","1.1","0.2","0.4","0"
"Quincy Pondexter","2010","66","11.1","2.8","2.7","40.6","0.8","36","0.5","70.6","0.3","1","0.4","0.2","1","1"
"Jordan Crawford","2010","42","24.4","11.7","11.9","38.4","3","25.8","2","86.9","0.7","1.8","2.8","0.1","1.5","1"
"Greivis Vasquez","2010","70","12.3","3.6","3.3","40.8","1.2","29.1","0.6","77.3","0.2","0.9","2.2","0.1","1.2","1"
"Lazar Hayward","2010","42","10","3.8","3.7","35.7","1.4","28.3","1","78.6","0.5","1.1","0.7","0.2","1","0"
"Jeff Ayres","2009","39","10.4","2.7","1.7","66.2","0","0","0.5","90","0.6","1.9","0","0.4","1.9","1"
"Jermaine Taylor","2009","31","9.8","4.1","3.8","37.8","0.7","22.7","1.5","71.7","0.7","0.8","0.5","0.1","0.5","0"
"Dante Cunningham","2009","63","11.2","3.9","3.4","49.5","0","0","0.8","64.6","0.9","1.7","0.2","0.3","1.5","1"
"DaJuan Summers","2009","44","9.2","3","3","35.4","1","35.7","0.9","71.1","0.3","0.7","0.4","0.2","1.2","0"
"Sam Young","2009","80","16.5","7.4","6.2","45.1","0.7","19.6","2.2","77.7","1","1.6","0.7","0.3","1.3","0"
"DeJuan Blair","2009","82","18.2","7.8","6","55.6","0","0","2","54.7","2.4","4","0.8","0.5","2.7","1"
"Jon Brockman","2009","52","12.6","2.8","2","53.4","0","0","1.2","59.7","2","2.1","0.4","0.1","2.2","0"
"Jonas Jerebko","2009","80","27.9","9.3","7.5","48.1","1.4","31.3","2.2","71","2.4","3.6","0.7","0.4","2.9","1"
"Derrick Brown","2009","57","9.4","3.3","2.6","46.3","0.1","28.6","1.3","66.7","0.5","0.8","0.3","0.2","0.9","0"
"Jodie Meeks","2009","60","12","4.7","4.5","38.8","2.2","31.8","0.7","79.5","0.2","1.5","0.7","0.1","0.9","1"
"Marcus Thornton","2009","73","25.6","14.5","12.1","45.1","4.3","37.4","2.4","81.4","1","1.9","1.6","0.2","1.7","1"
"Chase Budinger","2009","74","20.1","8.9","7.6","44.1","3.4","36.9","1.2","77","0.5","2.5","1.2","0.1","1.1","1"
"Danny Green","2009","20","5.7","2","2","38.5","1.1","27.3","0.3","66.7","0.4","0.5","0.3","0.2","0.5","1"
"Taylor Griffin","2009","8","4.1","1.3","1.3","40","0.3","0","0.5","50","0","0.3","0.1","0.3","0.5","0"
"AJ Price","2009","56","15.5","7.3","6.3","41","3.1","34.5","1.3","80","0.2","1.4","1.9","0.1","0.9","1"
"Lester Hudson","2009","25","5.3","2.3","2.1","39.6","0.6","31.3","0.5","84.6","0.3","0.4","0.5","0.1","0.5","0"
"Hasheem Thabeet","2009","68","13","3.1","1.9","58.8","0","0","1.4","58.1","1.3","2.3","0.2","1.3","2.4","1"
"James Harden","2009","76","22.9","9.9","7.6","40.3","3.3","37.5","3.2","80.8","0.6","2.6","1.8","0.3","2.6","1"
"Tyreke Evans","2009","72","37.2","20.1","16.2","45.8","2","25.5","6.5","74.8","0.9","4.4","5.8","0.4","2.8","1"
"Stephen Curry","2009","80","36.2","17.5","14.3","46.2","4.8","43.7","2.5","88.5","0.6","3.9","5.9","0.2","3.2","1"
"Jordan Hill","2009","47","13.3","5.2","4.3","49.3","0","0","1.4","67.6","1.6","2.1","0.4","0.4","2","1"
"DeMar DeRozan","2009","77","21.6","8.6","6.6","49.8","0.2","25","2.5","76.3","0.9","2","0.7","0.2","2.3","1"
"Brandon Jennings","2009","82","32.6","15.5","14.8","37.1","4.7","37.4","3.3","81.7","0.6","2.8","5.7","0.2","2.3","1"
"Terrence Williams","2009","78","22.6","8.4","8.3","40.1","1.3","31","1.8","71.5","0.6","3.9","2.9","0.1","1.6","1"
"Gerald Henderson","2009","43","8.3","2.6","2.4","35.6","0.4","21.1","1.1","74.5","0.3","0.9","0.3","0.2","0.6","1"
"Tyler Hansbrough","2009","29","17.6","8.5","7.8","36","0.1","0","3.9","74.3","2.1","2.7","1","0.3","2.4","1"
"Earl Clark","2009","51","7.5","2.7","3","37.1","0.1","40","0.7","72.2","0.4","0.9","0.4","0.3","0.5","1"
"Austin Daye","2009","69","13.3","5.1","4.3","46.4","1.4","30.5","0.8","82.1","0.5","2","0.5","0.4","1.7","1"
"James Johnson","2009","65","11.6","3.9","3.2","45.2","0.7","32.6","1.1","72.9","0.5","1.4","0.7","0.7","1.9","1"
"Jrue Holiday","2009","73","24.2","8","7.1","44.2","2.2","39","1.2","75.6","0.8","1.8","3.8","0.2","2.1","1"
"Ty Lawson","2009","65","20.3","8.3","6","51.5","1.3","41","2.2","75.7","0.6","1.3","3.1","0","1.4","1"
"Jeff Teague","2009","71","10.1","3.2","3.2","39.6","0.5","21.9","0.7","83.7","0.1","0.9","1.7","0.2","1.2","1"
"Eric Maynor","2009","81","15.7","4.7","4.5","41.8","0.9","31","0.9","72.2","0.3","1.3","3.3","0.1","1.4","1"
"Darren Collison","2009","76","27.8","12.4","10.4","47.7","1.5","40","2.3","85.1","0.5","2","5.7","0.1","1.2","1"
"Omri Casspi","2009","77","25.1","10.3","8.7","44.6","2.6","36.9","2.3","67.2","1","3.6","1.2","0.2","1.6","1"
"Byron Mullens","2009","13","4.2","1.1","1.5","36.8","0","0","0","0","0.2","0.5","0.1","0","1","1"
"Taj Gibson","2009","82","26.9","9","7.7","49.4","0","0","2.1","64.6","2.8","4.7","0.9","1.3","3.4","1"
"DeMarre Carroll","2009","71","11.2","2.9","3.1","39.6","0.1","0","0.7","62.3","0.7","1.4","0.5","0.1","1.5","1"
"Wayne Ellington","2009","76","18.2","6.6","5.9","42.4","2.1","39.5","0.9","87.1","0.4","1.7","1","0.1","0.9","1"
"Toney Douglas","2009","56","19.4","8.6","7","45.8","3.1","38.9","1.2","80.9","0.7","1.2","2","0.1","2.1","1"
"Henry Walker","2008","29","7.4","3","2","62.1","0","0","0.8","69.6","0.3","0.7","0.4","0.1","1.8","1"
"JaVale McGee","2008","75","15.2","6.5","5.2","49.4","0","0","2.2","66","1.6","2.3","0.3","1","2.1","1"
"Kosta Koufos","2008","48","11.8","4.7","3.9","50.8","0","0","1.1","70.6","1","1.8","0.4","0.6","1.5","1"
"Roy Hibbert","2008","70","14.4","7.1","6","47.1","0","0","2.1","66.7","1.6","1.8","0.7","1.1","3.1","1"
"Goran Dragic","2008","55","13.2","4.5","4.1","39.3","1","37","1.2","76.9","0.6","1.3","2","0.1","1.6","1"
"George Hill","2008","77","16.5","5.7","4.8","40.3","0.9","32.9","1.9","78.1","0.4","1.7","1.8","0.3","1.9","1"
"Sean Singletary","2008","37","8.2","2.4","2.3","36.5","0.7","40","0.6","85.7","0.3","0.7","0.8","0","1.2","0"
"Jason Thompson","2008","82","28.1","11.1","8.7","49.7","0.1","0","3.5","69.2","2.9","4.5","1.1","0.7","3.8","1"
"Joey Dorsey","2008","3","2.1","0.7","0.7","50","0","0","0","0","0","0.3","0.3","0","0","0"
"Mike Taylor","2008","51","15.1","5.7","5.2","41.2","0.8","32.5","1.6","69.1","0.4","1.3","2.1","0","1.6","0"
"Brandon Rush","2008","75","24","8.1","7.7","42.3","2.8","37.3","0.9","69.7","0.5","2.7","0.9","0.5","1.7","1"
"Malik Hairston","2008","15","10.3","3.3","3.3","49","0.1","0","0.5","28.6","0.7","1.1","0.9","0.5","1.3","0"
"Robin Lopez","2008","60","10.2","3.2","2.3","51.8","0","0","1.1","69.1","0.9","1.1","0.1","0.7","1.6","1"
"Marreese Speights","2008","79","16","7.7","6.4","50.2","0.1","25","1.7","77.3","1.6","2.2","0.4","0.7","2.3","1"
"Courtney Lee","2008","77","25.2","8.4","7","45","2.6","40.4","1.2","83","0.2","2.1","1.2","0.2","2","1"
"Walter Sharpe","2008","8","2.4","1","1.4","36.4","0.3","0","0.3","0","0","0.4","0","0.3","0.4","0"
"Russell Westbrook","2008","82","32.5","15.3","13.4","39.8","1.6","27.1","5.2","81.5","2.2","2.7","5.3","0.2","2.3","1"
"Danilo Gallinari","2008","28","14.7","6.1","4.5","44.8","2.6","44.4","1","96.3","0.5","1.5","0.5","0.1","1.7","1"
"Darrell Arthur","2008","76","19.3","5.6","5.7","43.8","0","0","0.8","66.7","1.4","3.1","0.6","0.7","2.7","1"
"Chris Douglas-Roberts","2008","44","13.3","4.9","4","46","0.3","25","1.4","82.3","0.3","0.8","1.2","0.2","0.8","1"
"Brook Lopez","2008","82","30.5","13","10.3","53.1","0","0","2.6","79.3","2.7","5.4","1","1.8","3.1","1"
"Ryan Anderson","2008","66","19.9","7.4","6.2","39.3","2.9","36.5","1.8","84.5","1.6","3.1","0.8","0.3","2.4","1"
"Mario Chalmers","2008","82","32","10","8.1","42","3.8","36.7","2.4","76.7","0.5","2.3","4.9","0.1","2.9","1"
"OJ Mayo","2008","82","38.1","18.5","15.6","43.8","4.6","38.4","3.4","87.9","0.7","3.1","3.2","0.2","2.5","1"
"Luc Mbah a Moute","2008","82","25.8","7.2","6","46.2","0","0","2.3","72.9","2.3","3.6","1.1","0.5","2.5","1"
"Darnell Jackson","2008","51","8.4","1.9","1.7","43","0","0","0.7","68.6","0.6","1.1","0.2","0.1","1.5","0"
"Michael Beasley","2008","81","24.8","13.9","11.8","47.2","1","40.7","3","77.2","1.4","4.1","1","0.5","2.3","1"
"Kevin Love","2008","81","25.3","11.1","8.5","45.9","0.2","10.5","4.1","78.9","3.4","5.7","1","0.6","2.5","1"
"Joe Crawford","2008","2","11.4","4.5","5","30","2","25","1","100","0.5","1.5","0.5","0","1","0"
"DeAndre Jordan","2008","53","14.6","4.3","2.8","63.3","0","0","2.1","38.5","1.4","3.1","0.2","1.1","1.8","1"
"Eric Gordon","2008","78","34.3","16.1","11.6","45.6","4.3","38.9","4.5","85.4","0.6","2","2.8","0.4","2.2","1"
"Nathan Jawai","2008","6","3.1","0.3","0.7","25","0","0","0","0","0.2","0.2","0","0","0.5","0"
"Jerryd Bayless","2008","53","12.4","4.3","3.6","36.5","0.5","25.9","1.9","80.6","0.2","0.9","1.5","0","1.5","1"
"Nicolas Batum","2008","79","18.4","5.4","4.6","44.6","2.1","36.9","0.7","80.8","1.1","1.7","0.9","0.5","1.8","1"
"Anthony Randolph","2008","63","17.9","7.9","6.8","46.2","0.1","0","2.2","71.6","2","3.7","0.8","1.2","2.2","1"
"DJ White","2008","7","18.5","8.9","7.1","52","0","0","1.9","76.9","1.4","3.1","0.9","0.7","1.4","1"
"JJ Hickson","2008","62","11.4","4","3.1","51.5","0","0","1.1","67.2","0.8","1.8","0.1","0.5","1.3","1"
"Sonny Weems","2008","12","4.6","1.6","2.1","32","0.3","0","0.7","37.5","0","0.3","0.3","0","0.7","0"
"Derrick Rose","2008","81","37","16.8","14.9","47.5","0.9","22.2","3.1","78.8","1.2","2.7","6.3","0.2","1.5","1"
"Kyle Weaver","2008","56","20.8","5.3","4.4","45.9","1.7","34.4","1","70.7","0.6","1.8","1.8","0.4","1.4","0"
"DJ Augustin","2008","72","26.5","11.8","8.6","43","3.4","43.9","3.2","89.3","0.2","1.6","3.5","0","1.9","1"
"Alexis Ajinca","2008","31","5.9","2.3","2.2","36.2","0.1","0","0.9","71.4","0.3","0.7","0.1","0.2","1.1","1"
"JR Giddens","2008","6","1.3","0.7","0.5","66.7","0","0","0","0","0.3","0.2","0","0","0.2","0"
"Carl Landry","2007","42","16.9","8.1","5.2","61.6","0","0","2.6","66.1","2.3","2.6","0.5","0.2","2.3","1"
"Gabe Pruitt","2007","15","6.3","2.1","2.6","35.9","0.8","25","0.1","50","0.1","0.5","0.9","0","0.7","0"
"Marcus Williams 1","2007","11","3.3","0.9","1.8","25","0","0","0","0","0.4","0.7","0.3","0.1","0.3","0"
"Nick Fazekas","2007","26","10.3","4.1","3.2","56.1","0.1","0","0.8","68.2","1.3","2.1","0.4","0.4","1","0"
"Glen Davis","2007","69","13.6","4.5","3.2","48.4","0","0","2.2","66","1.4","1.6","0.4","0.3","2.3","1"
"Jermareo Davidson","2007","38","8.5","3.2","3.3","40.8","0","0","0.7","64.3","0.6","1.1","0.3","0.4","1.2","0"
"Chris Richard","2007","52","10.7","1.9","1.7","47.1","0","0","0.5","59.3","1","1.6","0.3","0.2","1.6","0"
"Stephane Lasme","2007","16","19","5.2","4.4","45.1","0","0","2","59.4","1.6","1.7","0.2","1.4","2.2","0"
"Dominic McGuire","2007","70","9.9","1.3","1.5","37.9","0.1","16.7","0.5","43.8","0.8","1.2","0.6","0.4","1.1","1"
"Aaron Gray","2007","61","10","4.3","3.3","50.5","0","0","1.6","56.6","1.1","1.6","0.7","0.3","1.9","1"
"Taurean Green","2007","17","4.3","1.6","1.5","28","0.6","18.2","0.7","91.7","0","0.6","0.6","0","0.3","0"
"Demetris Nichols","2007","14","3.2","1.1","1.6","26.1","0.9","23.1","0","0","0","0.4","0.1","0.2","0.3","0"
"Ramon Sessions","2007","17","26.4","8.1","6.9","43.6","0.4","42.9","2.4","78","0.5","2.9","7.5","0.2","1.5","1"
"DJ Strawberry","2007","33","8.2","2.2","2.8","31.5","0.8","24","0.6","47.4","0.3","0.6","0.9","0.2","1.1","0"
"Kevin Durant","2007","80","34.6","20.3","17.1","43","2.6","28.8","5.6","87.3","0.9","3.5","2.4","0.9","1.5","1"
"Al Horford","2007","81","31.4","10.1","8.2","49.9","0.1","0","2.6","73.1","3.1","6.6","1.5","0.9","3.3","1"
"Mike Conley","2007","53","26.1","9.4","8.3","42.8","1.7","33","2.3","73.2","0.4","2.2","4.2","0","1.6","1"
"Jeff Green","2007","80","28.2","10.5","9.4","42.7","1","27.6","3","74.4","1.3","3.5","1.5","0.6","2.5","1"
"Yi Jianlian","2007","66","24.9","8.6","7.9","42.1","0.3","28.6","2.2","84.1","1.6","3.6","0.8","0.8","2.3","1"
"Corey Brewer","2007","79","22.8","5.8","6.2","37.4","0.5","19.4","1.4","80","1","2.7","1.4","0.3","2.4","1"
"Brandan Wright","2007","38","9.9","4","2.9","55.4","0","0","1.1","67.5","1","1.6","0.2","0.6","0.9","1"
"Joakim Noah","2007","74","20.7","6.6","5","48.2","0","0","2.6","69.1","2.4","3.3","1.1","0.9","2.3","1"
"Spencer Hawes","2007","71","13.1","4.7","4.5","45.9","0.3","19","0.8","65.5","1","2.3","0.6","0.6","1.8","1"
"Acie Law","2007","56","15.5","4.2","4.2","40.1","0.6","20.6","0.9","79.2","0.2","0.8","2","0","1.3","0"
"Thaddeus Young","2007","74","21","8.2","6.6","53.9","0.3","31.6","1.4","73.8","1.6","2.6","0.8","0.1","1.7","1"
"Julian Wright","2007","57","11.2","3.9","3","53.3","0.4","41.7","0.9","63.5","0.6","1.5","0.7","0.2","0.8","0"
"Al Thornton","2007","79","27.3","12.7","11","42.9","1.6","33.1","3.6","74.3","1.2","3.3","1.2","0.5","2.5","0"
"Rodney Stuckey","2007","57","19","7.6","6.7","40.1","0.3","18.8","2.7","81.4","0.6","1.7","2.8","0.1","2","1"
"Nick Young","2007","75","15.4","7.5","6.4","43.9","1.3","40","1.7","81.5","0.3","1.2","0.8","0.1","1.7","1"
"Marco Belinelli","2007","33","7.3","2.9","2.8","38.7","1.2","39","0.3","77.8","0.1","0.3","0.5","0","0.5","1"
"Jason Smith","2007","76","14.6","4.5","4.1","45.5","0.2","28.6","1.1","65.9","1","2","0.3","0.7","1.9","1"
"Daequan Cook","2007","59","24.4","8.8","8.7","38.1","4","33.2","1","82.5","0.3","2.7","1.3","0.2","2.7","1"
"Jared Dudley","2007","73","19","5.8","4.8","46.8","0.6","22","1.6","73.7","1.7","2.3","1.1","0.1","1.8","1"
"Wilson Chandler","2007","35","19.6","7.3","6.9","43.8","0.9","30","1.5","63","1.1","2.5","0.9","0.5","2.4","1"
"Morris Almond","2007","9","4.4","1.4","1.7","26.7","0.4","25","0.7","66.7","0","0.2","0.3","0","0.6","0"
"Aaron Brooks","2007","51","11.9","5.2","4.4","41.3","2.1","33","1","85.7","0.3","0.8","1.7","0.1","1.4","1"
"Arron Afflalo","2007","75","12.9","3.7","3.2","41.1","0.6","20.8","1.2","78.2","0.5","1.3","0.7","0.1","1.1","1"
"Alando Tucker","2007","6","8","3.7","3.7","36.4","0.7","25","1","83.3","0.7","0.7","0","0.2","0.3","0"
"James White","2006","6","22.8","8.3","6.8","43.9","1.2","28.6","2.5","80","0.5","2.8","0.8","0.2","1.2","0"
"Andrea Bargnani","2006","65","25.1","11.6","9.6","42.7","4.1","37.3","2.2","82.4","0.8","3.1","0.8","0.8","2.8","1"
"LaMarcus Aldridge","2006","63","22.1","9","7.6","50.3","0","0","1.8","72.2","2.3","2.7","0.4","1.2","3","1"
"Steve Novak","2006","35","5.4","1.5","1.4","36","1.1","33.3","0.1","100","0.1","0.6","0.2","0","0.6","1"
"Solomon Jones","2006","58","11.5","3.3","2.2","50.8","0","0","1.3","78.7","0.8","1.5","0.2","0.7","2.1","1"
"Tyrus Thomas","2006","72","13.4","5.2","3.9","47.5","0","0","2.4","60.6","1.2","2.5","0.6","1.1","2.3","1"
"Paul Davis","2006","31","5.8","1.6","1.7","42.3","0","0","0.3","70","0.7","0.7","0.2","0.2","0.9","0"
"Shelden Williams","2006","81","18.7","5.5","4.5","45.5","0","50","1.8","76.4","1.6","3.8","0.5","0.5","2.5","1"
"PJ Tucker","2006","17","4.9","1.8","1.3","50","0","0","0.8","57.1","0.6","0.7","0.2","0","0.7","1"
"Brandon Roy","2006","57","35.3","16.8","13.4","45.6","2.6","37.7","4.2","83.8","1","3.4","4","0.2","2.4","1"
"Craig Smith","2006","82","18.7","7.4","5.6","53.1","0.1","0","2.3","62.4","1.8","3.2","0.6","0.2","2.7","1"
"Randy Foye","2006","82","22.9","10.1","8.4","43.4","2.3","36.8","2.3","85.4","0.6","2.1","2.8","0.3","2.2","1"
"Bobby Jones","2006","44","7.6","2.5","2.1","46.2","0.2","11.1","0.9","56.1","0.5","0.8","0.4","0","1.3","0"
"Rudy Gay","2006","78","27","10.8","9.7","42.2","1.8","36.4","2.7","72.7","1.2","3.3","1.3","0.9","2.5","1"
"Patrick O'Bryant","2006","16","7.4","1.9","2","31.3","0","0","1.1","64.7","0.4","0.9","0.6","0.5","1.6","0"
"David Noel","2006","68","11.6","2.7","2.6","36.7","0.8","32.1","0.6","86","0.6","1.2","1","0.1","1.1","0"
"Mouhamed Sene","2006","28","6.1","1.9","1.8","36.7","0","0","1","58.6","0.6","1","0","0.4","1.2","0"
"JJ Redick","2006","42","14.8","6","4.6","41","2.3","38.8","1.4","90","0.2","1","0.9","0","1.2","1"
"James Augustine","2006","2","3.7","1","1.5","33.3","0","0","0","0","0.5","1","1","0","1","0"
"Hilton Armstrong","2006","56","11.3","3.1","2.2","54.4","0","0","1.2","59.7","1","1.6","0.2","0.5","1.4","1"
"Daniel Gibson","2006","60","16.5","4.6","3.9","42.4","2.1","41.9","0.7","71.8","0.5","1.1","1.2","0.1","1.6","1"
"Thabo Sefolosha","2006","71","12.2","3.6","3.6","42.6","0.6","35.7","0.6","51.1","0.5","1.7","0.8","0.2","1.4","1"
"Marcus Vinicius","2006","13","8","1.7","1.2","46.7","0.5","42.9","0.5","71.4","0.2","0.7","0.4","0.1","0.8","0"
"Ronnie Brewer","2006","56","12.1","4.6","3.4","52.8","0.2","0","1.5","67.5","0.7","0.7","0.4","0.1","0.8","1"
"Cedric Simmons","2006","43","12.4","2.9","3.1","41.7","0","0","0.8","48.5","1","1.5","0.3","0.5","1.7","0"
"Rodney Carney","2006","67","17.4","6.6","5.9","46.4","1.1","34.7","1.3","60.9","0.6","1.3","0.4","0.3","1.8","1"
"Dee Brown","2006","49","9.2","1.9","2","32.7","0.6","21.4","0.8","64.9","0.2","0.7","1.7","0.1","1","0"
"Shawne Williams","2006","46","12.1","3.9","3.5","46.9","1.1","36.5","0.4","55","0.7","1.1","0.5","0.2","1.5","1"
"Paul Millsap","2006","82","18","6.8","4.9","52.5","0","33.3","2.5","67.3","2.2","2.9","0.8","0.9","2.9","1"
"Quincy Douby","2006","42","8.6","2.8","3","38.1","1.2","24","0.4","73.3","0.3","0.6","0.4","0.1","0.5","0"
"Leon Powe","2006","63","11.4","4.2","2.8","44.6","0","0","2.3","73.6","1.5","1.9","0.2","0.3","1.7","1"
"Renaldo Balkman","2006","68","15.6","4.9","4","50.5","0.4","18.5","1.3","56.7","1.4","2.9","0.6","0.6","2.1","1"
"Ryan Hollins","2006","27","6.9","2.4","1.3","55.6","0","0","1.5","60","0.4","0.7","0","0.3","1.5","1"
"Rajon Rondo","2006","78","23.5","6.4","5.8","41.8","0.4","20.7","2.4","64.7","0.9","2.8","3.8","0.1","2.3","1"
"Marcus Williams 2","2006","79","16.6","6.8","6.7","39.5","2.1","28.2","1.1","84.7","0.4","1.7","3.3","0","1.2","0"
"Josh Boone","2006","61","11","4.2","2.8","57.9","0","0","1.7","54.4","1","1.8","0.2","0.3","1.5","0"
"Shannon Brown","2006","23","8.8","3.2","3.2","37.8","1.1","28","0.6","71.4","0.3","0.7","0.4","0.1","1","1"
"Jordan Farmar","2006","72","15.1","4.4","4.1","42.2","1.9","32.8","0.5","71.1","0.3","1.3","1.9","0.1","1.1","1"
"Sergio Rodriguez","2006","67","12.9","3.7","3.6","42.3","1.3","28.2","0.4","80.8","0.3","1.1","3.3","0","1.1","1"
"Maurice Ager","2006","32","6.7","2.2","2.2","31.4","0.5","33.3","1","60.6","0","0.6","0.2","0.1","0.8","0"
"Mardy Collins","2006","52","14.9","4.5","4.4","38.2","0.9","27.7","1.6","58.5","0.5","1.5","1.6","0.1","1.4","0"
"Will Blalock","2006","14","11.8","1.8","2.1","30","0.4","20","0.4","100","0.4","0.6","1.2","0","0.6","0"
"Andrew Bogut","2005","82","28.6","9.4","7.4","53.3","0","0","2.4","62.9","2.3","4.7","2.3","0.8","3.2","1"
"Salim Stoudamire","2005","61","20.3","9.7","8.1","41.5","3.5","38","1.8","90","0.2","1.7","1.2","0","1.9","0"
"Marvin Williams","2005","79","24.7","8.5","6.7","44.3","0.7","24.5","3.2","74.7","1.5","3.3","0.8","0.3","2.9","1"
"Deron Williams","2005","80","28.8","10.8","10.1","42.1","2.7","41.6","1.7","70.4","0.4","2","4.5","0.2","2.9","1"
"Brandon Bass","2005","29","9.3","2.3","2.4","40","0","0","0.7","63.2","0.6","1.7","0.1","0.2","0.6","1"
"Chris Paul","2005","78","36","16.1","12.1","43","2.3","28.2","6","84.7","0.8","4.3","7.8","0.1","2.8","1"
"CJ Miles","2005","23","8.8","3.4","3.3","36.8","0.9","25","1","75","0.8","0.9","0.7","0.1","0.9","1"
"Raymond Felton","2005","80","30.1","11.9","11","39.1","3.4","35.8","2.8","72.5","1","2.4","5.6","0.1","2.3","1"
"Martell Webster","2005","61","17.5","6.6","5.7","39.9","3","35.7","1.2","85.9","0.5","1.7","0.6","0.2","1.5","1"
"Charlie Villanueva","2005","81","29.1","13","11.6","46.3","2.6","32.7","2","70.6","2.2","4.2","1.1","0.8","3","1"
"Ronny Turiaf","2005","23","7","2","1.3","50","0","0","1.2","55.6","0.5","1.1","0.3","0.4","1.3","1"
"Channing Frye","2005","65","24.2","12.3","9.8","47.7","0.1","33.3","3.5","82.5","2.1","3.6","0.8","0.7","3.1","1"
"Travis Diener","2005","23","10.7","3.8","3","42","2.5","43.9","0.3","83.3","0.2","0.7","0.7","0","1","1"
"Ike Diogu","2005","69","14.9","7","4.8","52.4","0","0","2.4","81","1.4","1.9","0.4","0.4","2.4","1"
"Von Wafer","2005","16","4.5","1.3","2.4","15.8","1.1","11.8","0.5","75","0.3","0.2","0.3","0","0.8","1"
"Andrew Bynum","2005","46","7.4","1.6","1.8","40.2","0","0","0.6","29.6","0.7","1","0.2","0.5","1.2","1"
"Monta Ellis","2005","49","18.1","6.8","6.5","41.5","1.7","34.1","1.2","71.2","0.4","1.7","1.6","0.2","1.4","1"
"Yaroslav Korolev","2005","24","5.3","1.1","1.3","30","0.3","28.6","0.4","70","0.2","0.3","0.4","0","0.5","0"
"Chris Taft","2005","17","8.5","2.8","2.2","60.5","0","0","0.4","16.7","1.1","1","0.1","0.4","1.5","0"
"Sean May","2005","23","17.3","8.2","7.4","40.9","0.2","0","2.8","76.6","1.8","2.9","1","0.5","2.5","0"
"Rashad McCants","2005","79","17.2","7.9","6.8","45","2.3","37.2","1.3","73.6","0.4","1.4","0.8","0.3","2.2","0"
"Martynas Andriuskevicius","2005","6","1.6","0","0.2","0","0","0","0","0","0.2","0.5","0","0","0.2","0"
"Joey Graham","2005","80","19.8","6.7","5.2","47.8","1.1","33.3","1.7","81.2","0.7","2.3","0.8","0.2","2.9","1"
"Danny Granger","2005","78","22.6","7.5","6.1","46.2","1.2","32.3","1.9","77.7","1.7","3.2","1.2","0.8","2.7","1"
"Bracey Wright","2005","7","19.3","8.9","7.3","41.2","2.4","35.3","2.3","87.5","0.4","2.1","0.7","0","1.1","0"
"Gerald Green","2005","32","11.7","5.2","4.3","47.8","0.6","30","1.2","78.4","0.3","1","0.6","0.1","1.3","1"
"Hakim Warrick","2005","68","10.6","4.1","3.4","44.3","0","0","1.7","66.1","0.6","1.5","0.4","0.3","1.7","1"
"Andray Blatche","2005","29","6.1","2.2","2.3","38.8","0.4","23.1","0.4","83.3","0.4","0.9","0.3","0.2","1.2","1"
"Julius Hodge","2005","14","2.4","0.9","0.9","38.5","0","0","0.6","37.5","0.4","0.1","0.4","0","0.5","0"
"Ryan Gomes","2005","61","22.6","7.6","5.8","48.7","0.1","33.3","2.4","75.2","1.7","3.2","1","0.1","1.4","1"
"Nate Robinson","2005","72","21.4","9.3","7.8","40.7","2","39.7","2.8","75.2","0.8","1.5","2","0","2.8","1"
"Robert Whaley","2005","23","9.2","2.1","2.5","40.4","0","0","0.3","50","0.7","1.2","0.7","0.3","1.8","0"
